"","F1T1","F2T1","F3T1","F4T1","F5T1","S1T1","S2T1","S3T1","S4T1","S5T1","S6T1","S7T1","M1T1","M2T1","M3T1","M4T1","M5T1","M6T1","M7T1","M8T1","M9T1","M10T1","H1","H2","H3","H4","H5","H6","H7","H8"
"TGFBI",-0.176800000282622,0.247999999910818,0.245300000390226,0.490000000269138,-0.166400000663069,-0.192900000769586,-0.180300000728714,0.111899999387301,0.0934999995157728,-0.230500000394009,-0.00729999954717899,0.147800000505252,0.943099999657461,0.718200000166519,0.321000000400315,0.439899999936135,0.0621999994817577,0.131899999741376,0.0685999995976237,0.088500000312331,0.297600000385683,-0.112200000776032,0.166900000447475,0.182600000214157,0.216300000011737,0.445100000133569,0.380800000327845,0.22969999948846,0.295199999510739,0.291799999881332
"TSN",NA,NA,NA,NA,0.318300000393526,-0.00229999943339431,-0.0525999998283832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAPRE1",NA,NA,0.192399999504832,-0.074999999924805,0.714900000335973,0.0200000002987535,-0.597599999177436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYLK",NA,NA,0.248800000490632,0.280299999552788,NA,NA,NA,NA,NA,NA,NA,NA,0.071300000651483,0.0389999994678522,0.431499999953033,0.126699999913842,0.757100000110222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CST6",1.40939999990023,0.245799999820398,0.650200000207225,-0.0835999996734374,0.637199999772005,0.30440000025007,0.856399999613657,0.473700000320097,0.949300000182779,0.163300000235106,0.714800000439041,0.484100000229157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.580699999997086,-0.135400000476091,-0.00420000047463232,0.55069999987881,0.750399999881052,-0.740000000745671,1.51560000020663,0.695500000070365
"ADIPOQ",0.0332000006530957,0.342400000170988,-0.338199999761506,-0.398899999365587,0.589700000296104,0.115299999638111,0.341099999815203,0.157600000543715,-0.0877999996127454,0.222600000325827,-0.0876000000988441,0.437800000274062,0.314099999467145,0.176099999497161,-0.211099999739076,0.408000000438011,-0.18420000034511,0.602100000157847,0.457700000523761,0.556100000449784,0.437999999483115,0.237899999602895,0.924299999984369,0.882199999821465,1.09729999989831,1.27080000006127,0.85290000022062,0.59109999966345,1.45530000011623,1.47969999978146
"RAB11B",NA,NA,NA,NA,0.164300000249001,0.143099999937941,0.338100000561813,0.205699999488836,-0.268299999405771,0.192900000190992,-0.250000000435289,-0.721800000811083,NA,NA,NA,NA,NA,0.277099999892963,0.381199999489761,0.538899999802452,0.494600000386205,1.02960000031528,NA,NA,NA,NA,NA,NA,NA,NA
"ZYX",NA,NA,0.287299999501464,-0.21819999991138,0.349900000486196,0.00850000066459663,-0.143499999330521,0.159000000022519,-0.157800000208022,0.0343999994057408,0.0611999997222517,-0.275299999142318,0.105699999720474,0.338800000034253,0.106200000418778,0.976900000058619,1.21380000010522,0.207900000146323,0.567500000087168,-0.0913999998109339,0.388300000100123,0.794700000318059,NA,NA,NA,NA,NA,NA,NA,NA
"IGFBP7",-0.280599999313375,0.113600000354586,-0.436500000657484,-0.234499999243873,-0.239900000526906,-0.126499999262626,0.132200000335456,-0.159900000787448,-0.0292000001913663,-0.142599999820015,-0.0420999999550192,0.237799999934128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EXT1",-0.260000000740049,0.236100000064481,NA,NA,0.062399999456778,0.151499999434278,0.336100000242094,-0.512000000660812,-0.385099999305479,-0.122299999658634,-0.761600000824465,0.96620000014691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAPK14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128700000237664,0.285999999909713,-0.0634999995070286,0.203199999653804,0.784199999978722,NA,NA,NA,NA,NA,NA,NA,NA
"ECM1",-0.372499999961856,0.0743999993160257,-0.147000000242528,0.233999999643077,-0.133799999330368,-0.0834000006646936,0.0604000002843551,0.0805999994114735,-0.214000000029445,-0.023000000049547,0.079300000530283,0.199899999932374,-0.461499999510999,-0.0968999992899267,-0.306200000657808,-0.310499999875028,-0.421099999461239,-0.208300000630161,-0.147699999563054,-0.0332999998291911,-0.380300000285344,-0.409200000870905,0.157300000591662,0.170600000424187,0.0395999993134141,0.147800000505252,-0.0668999995760683,-0.08639999978396,0.146499999592372,0.208800000325892
