"","C1","C2","C3","C4","C5","C6","M1","M4","S1","S2","S3","H1","H2","H3","H4","H5","M2","M3"
"A0A0C4DH36",-7.83097478617447,-8.94714950489381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.24792751344359
"P33908",-9.53221182915209,-8.63134384558773,-9.74584936318239,-9.26310149388705,-10.4642398247361,-8.96093065094254,-8.61137615995909,NA,-8.80974815460784,-9.75750906816934,-8.82158215187623,-10.1524659375231,NA,NA,-9.56822759043291,-9.26511268618425,-9.39216406694115,-9.24792751344359
"O94769",-9.94379743214046,-9.12412131182919,NA,NA,NA,NA,NA,NA,NA,-9.87075529610068,-10.3466720188689,NA,NA,NA,NA,NA,NA,NA
"Q13103",-9.95070950379069,-10.1241213118292,-10.3238824021864,NA,-10.4642398247361,-10.2214144984658,-10.0770168489135,-9.57091017178417,NA,-10.0703126520103,-8.46105233332563,-10.1524659375231,NA,-10.0187962927426,-9.15319009115406,-10.2651126861843,NA,-10.2479275134436
"A0A0J9YX35",-9.94379743214046,-8.75064267194842,NA,NA,NA,NA,NA,NA,-10.2759581865932,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P05451",-8.21443694168287,-7.90080075927045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q86VB7",-10.5322118291521,-8.97146846383882,-8.15626352516435,-10.180290355268,-9.87777059276481,-10.380229126763,-9.96681441326058,-9.6114053310609,-8.72335754555048,-10.0703126520103,NA,NA,-8.89539495677069,NA,-11.1531900911541,NA,NA,NA
"A0A075B6R2",-9.53221182915209,NA,NA,NA,-10.4642398247361,-9.74036282164009,NA,NA,-8.24807667484574,NA,-9.53430288245463,NA,-9.48035745749184,NA,-10.1531900911541,-10.2651126861843,NA,NA
"P23381",-9.53221182915209,-10.1241213118292,NA,-10.1019756709492,NA,NA,NA,NA,-9.09775277299323,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P01700",-7.8325698767435,-7.30504758014141,-8.997812550117,-9.10197567094923,-9.14140750227864,NA,-9.46206173940031,NA,-8.07508672915269,-8.11717988567562,-10.5343028824546,-9.15246593752315,NA,-11.0187962927426,-11.1531900911541,-7.09518768474194,-7.80720156622,-6.66296501272243
"Q92496",-9.52703707700515,-8.72342419435052,NA,NA,NA,-10.2214144984658,-10.1963386606802,NA,NA,NA,-10.4374392876578,-10.1524659375231,NA,NA,-10.1531900911541,NA,-10.3921640669412,-8.66296501272243
"Q8N423",-9.53740520927173,-9.20831821045045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P01743",-9.5218808196762,NA,-10.3238824021864,NA,-10.4642398247361,-8.58000675804629,NA,NA,-10.2480766748457,-10.0703126520103,-10.5343028824546,NA,NA,NA,NA,NA,NA,NA
"Q9UKR3",-8.3634392976398,-10.0213718531142,-9.30329150552022,NA,NA,NA,-9.96681441326058,-10.6959739345691,-10.2480766748457,-8.11051438128798,NA,NA,NA,NA,NA,NA,NA,NA
"Q76LX8",-8.0737230719694,-9.05481512246659,-9.73202356386473,NA,NA,NA,-9.70154306032904,-9.6114053310609,-8.6703279161378,-8.11051438128798,NA,NA,NA,NA,-10.1531900911541,-10.2651126861843,-8.80720156622,-10.2479275134436
"P04433",-8.3634392976398,NA,NA,NA,NA,NA,-8.61137615995909,-8.30599901832223,-7.56258309007731,NA,NA,-7.34511101546555,NA,NA,NA,NA,NA,NA
"P55103",-8.72633882331329,-10.1241213118292,-9.74584936318239,-10.263101493887,-10.4642398247361,-8.24033622158967,-10.1963386606802,-9.53152071007396,-8.70615328097324,-9.07031265201028,-9.13437060949306,-10.1524659375231,NA,-8.43383379202145,-9.15319009115406,-10.2651126861843,-10.3921640669412,NA
"Q86U17",-9.216518037584,-10.1241213118292,-9.32388240218639,NA,NA,-10.380229126763,NA,NA,-10.0730835141047,NA,-10.5343028824546,NA,NA,NA,-11.1531900911541,NA,NA,NA
"Q07954",-9.95070950379069,-8.78953364497036,-10.3447714432849,NA,NA,-9.22141449846581,-10.1963386606802,NA,-9.93915939908086,-9.69547688200914,NA,NA,NA,NA,NA,NA,NA,NA
"Q15848",-10.5218808196762,-9.20581908528004,-8.51356786933813,NA,NA,-10.2986375878956,NA,-8.6114053310609,-10.2759581865932,-8.49294989727998,-10.5343028824546,NA,NA,NA,-9.56822759043291,-9.26511268618425,-10.3921640669412,-7.92599941855622
"Q99969",-8.94724932843093,-9.08905207878008,-10.3032915055202,NA,NA,-10.2214144984658,NA,-10.6959739345691,-10.2207238006473,-9.75750906816934,-10.4374392876578,NA,NA,NA,NA,NA,NA,-9.24792751344359
"P30043",-10.5218808196762,NA,-8.73891990146523,NA,NA,NA,NA,-7.52604893312675,NA,-9.69547688200914,NA,NA,NA,NA,NA,NA,-8.39216406694116,NA
"P68104",-8.52188081967619,NA,NA,-5.30575383079261,-10.4642398247361,-8.86100452388549,-10.1963386606802,NA,-8.3541968983597,NA,-7.07669259874323,-9.15246593752315,-7.67300253543424,-8.43383379202145,-7.69375847251676,-9.26511268618425,NA,NA
"Q9UNW1",-9.95070950379069,-10.0213718531142,NA,NA,NA,NA,NA,NA,-9.93915939908086,NA,-10.4374392876578,NA,NA,NA,-10.1531900911541,NA,-10.3921640669412,-10.2479275134436
"Q5JSJ4",-5.65079941660847,-6.02672507247649,-6.8682263633329,-8.26310149388705,-8.14684138832927,-6.38120861270415,-6.09183405880642,-6.55956340632903,-5.61051970061007,-6.11474770233295,-6.72694796039703,-4.69303431888585,-5.95679550143483,-6.5593646741053,-6.7608726683753,-5.51022518402079,-5.43796775655428,-5.54748779530249
"P58166",-8.95070950379069,-10.1241213118292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.3921640669412,-9.24792751344359
"P49908",-8.94724932843093,-7.55110550470587,-9.32388240218639,NA,NA,-7.4654878597538,-10.1963386606802,-9.6114053310609,-9.01627793997454,-9.26946934383827,-8.27796128876555,-8.15246593752315,-6.77991773935075,-6.93133345149226,-8.15319009115406,-7.6801501854631,-8.80720156622,-10.2479275134436
"P27918",-9.53740520927173,-8.11473558893713,-7.87011786500666,-7.85836226038059,-6.29431482329381,-6.66433220896372,-6.85669725042332,-7.09141900631702,-7.41646258612672,-7.004296902255,-8.61676271504524,-9.15246593752315,-9.48035745749184,-7.84887129130029,-7.45275037301297,-8.68015018546309,-8.39216406694116,-8.66296501272243
