"","HD10","HD1","HD2","HD3","HD4","HD5","HD6","HD7","HD8","HD9","Pz111","Pz12","PZ148","Pz15","Pz16","PZ178","Pz25","PZ285","Pz28","PZ387","PZ390","PZ409","PZ49","PZ55","PZ69","Pz7","PZ90","PZ93","PZ94","PZ95"
"A0A024RAG6;P02745;X6RLJ0",2.518835,2.739695,3.728925,3.891565,3.61818,2.252625,2.793185,2.74001,2.435725,2.05283,2.63616,2.59182,3.892625,3.69335,3.95149,3.632375,4.496805,3.29649,4.659615,2.99582,3.6146,2.364515,3.81575,4.816555,4.313725,4.81878,4.10161,2.27096,2.903095,4.941705
"A0A024RB87;P61224;E7ESV4;F5H6R7;F5H004;F5GX62;Q9BXV4;A0A0J9YXB3;Q5U0C3;A8KAH9;P62834;A6NIZ1;F5H077;F5GWU8;F5H491;F5H0B7;F5H500;F5H823;B7ZB78;F5GZG1;F5GYB5;B7ZAY2",-0.02603055,-1.170877775,-1.42599,0.3516435,-2.68157,-7.55321,-3.114,0.1353155,-1.8332,-2.19953,-5.365485,-4.9588,0.2955375,-3.53521,-5.253675,-0.213265,-2.836295,-4.59315,-2.74903,-5.38552,-4.846995,-5.887275,-1.626605,0.7457485,-3.59694,1.41445,-2.528045,-6.608605,-5.350235,-3.441195
"B4E397;B4DNS6;B4DV72;Q8N4S1;A0A024RDE1;Q14515;B7ZB68;B4DFZ4",-2.607095,-3.2354625,-6.072655,-2.05904,-2.018755,-6.856625,-2.35984,-3.746245,-2.330115,-3.323035,-2.801455,-5.86233,0.560435,-3.7279,-4.09362,-3.053685,-0.5904085,-5.75652,-1.1032585,-4.613515,-5.00826,-4.989975,-3.798185,-1.417625,0.2367265,-2.88831,-3.25154,-3.599965,-4.28414,-2.77224
"V9HWJ7;Q53FI1;A0A024RDT4;P13796;Q59GX5",-1.77789,-2.606435,-4.309055,-2.931005,-3.19524,-4.932465,-4.48452,-2.51515,-2.047498,-3.201915,-2.843305,-2.484075,-0.32488005,-0.42897117,0.466129,-0.4835515,0.843522,-3.556095,1.0579365,-3.51263,-3.676355,-6.11886,-1.375605,1.41002,-1.033729,-0.4298455,0.0611625,-3.322335,0.25016365,-0.416225
"A0A075B6N8;Q8NF17;Q6N030;Q5EBM2;P01860;Q86TT2",3.321765,3.136945,3.82585,3.46201,4.021635,2.501185,2.509325,4.21307,2.824725,2.676025,4.37721,1.37184,3.861995,2.47089,3.552455,2.583845,2.706225,2.008415,4.53531,0.255982,0.432291,0.798445,2.29956,3.92423,4.563115,3.0651,2.792195,3.1185,2.69967,4.952095
"A0A087WYJ9;A0A075B6N9;A0A1B0GUU9;P01871;P04220",2.1012,2.3567075,1.32574,2.75149,3.18713,1.616285,0.9477865,5.06889,3.38555,3.646295,1.148685,2.1663,1.931085,1.168667,3.5051,2.061875,3.25538,2.164285,5.258725,2.42754,1.555565,2.762215,2.012295,2.447255,3.511045,3.568125,0.5031925,2.09778,0.6149735,3.51911
"A0A087WW89;A0A0F7TAG7;A0A0B4J1Y9",0.74362,1.0133025,0.855434,1.100859,0.5569275,-0.627401,-0.2983705,2.331175,1.201155,0.6990315,1.13237,-2.162815,-0.852056,-3.45598,-0.3317826,-1.399974,-0.065288895,-2.789485,1.971555,-1.53909,-3.823865,-1.602815,-0.086986,0.817945,1.344955,-0.050823665,0.00344805,-0.4635203,0.297473,0.74593
"A0A087WXI2;Q9Y6R7",-2.82534,-2.762915,-4.848915,-5.23411,-5.10431,-4.03243,-6.99562,-4.37722,-4.617465,-5.60069,-2.665245,-2.095255,-4.790265,-4.473705,-2.623485,-4.55722,-3.00683,-6.372195,-0.9304425,-4.01089,-4.05755,-5.382215,-3.55789,-2.669585,1.549685,-2.53587,-6.369625,-5.61994,-2.639625,-4.247965
"A0A087X0I0;A0A140T9L7;A0A140T8Z8;A0A140T9C0;A0A140T8Y3;A0A140TA52;A0A140TA41;P22105;A0A140T902;A0A140TA33;Q6IPK3",-4.820005,-4.37546,-5.6777,-3.889015,-4.056665,-5.904685,-5.717115,-5.01222,-6.2931,-6.27587,-7.088085,-6.285945,-4.61553,-6.121705,-5.59442,-4.759035,-5.348625,-5.666395,-3.4841,-4.777925,-6.81318,-6.77866,-5.14945,-2.338545,-4.209885,-3.127615,-5.018465,-6.392005,-6.95003,-4.776775
"B3KX75;A0A087X0M8;O00533",-5.78761,-5.34559,-6.11626,-3.74435,-3.80006,-4.932325,-4.640135,-3.74289,-4.20934,-4.71022,-5.73945,-4.649715,-4.46704,-4.28526,-3.398235,-4.982015,-2.800155,-6.388085,-3.145055,-6.90902,-5.099955,-5.43283,-4.53123,-3.51438,-0.5661385,-3.639805,-5.30357,-6.00699,-4.06805,-4.0506
"A0A087X1J7;P22352",1.772085,2.2632375,1.887355,2.832455,2.709725,2.12772,2.0509,3.094375,2.431275,1.695945,2.90761,2.593795,3.99752,2.4646,3.931305,3.15437,4.16935,1.39555,5.047565,2.382025,2.3005,1.24872,3.870245,4.332235,4.75067,4.5612,3.41895,2.474625,2.999945,3.539985
"A0A090N7U9;Q99969;C9J8S2",-0.7117215,-1.23618075,-2.08303,-0.673645,-0.24095445,-1.79008,-3.55594,-2.83831,-1.27781,-1.090179,-1.04198,-2.034815,-1.574265,-0.709135,0.28848,-1.73557,0.493912,-3.0032,-0.169011,-3.57825,-3.33822,-4.162655,-4.009775,0.6408875,-1.383075,-0.8013515,-2.494085,-2.43322,-0.428656,-1.2111465
"A0A096LPE2;P35542",4.830365,4.4704875,3.936455,5.0387,5.286745,3.01738,3.52148,5.420235,4.966835,3.528135,4.707035,5.145315,6.044275,5.79127,5.65243,5.82083,5.911075,4.16341,6.79147,3.574495,3.12569,3.087265,5.287825,6.27096,6.09303,6.3482,6.064865,4.588975,5.815685,5.43853
"A0A0A0MRJ7;P12259",1.17124,1.04243525,0.7640825,1.887745,1.929645,0.9106365,0.464968,-0.4607435,1.3503,0.6190495,1.368495,1.4135,2.41286,2.113535,1.883375,1.49645,2.18197,-0.2793045,2.988095,0.04688645,0.186715,-0.9776485,-0.464892,3.347395,2.036375,2.09769,2.62026,-0.440082,2.348065,1.675
"A0A0K0K1J1;P01034",0.1355417,-0.3810589,-0.104714,0.25521,-0.045804,-2.788455,-5.679235,-0.362804,-0.522918,0.14002285,0.5655545,-4.98194,0.6853385,-3.311215,2.08599,0.6940465,3.967325,-1.763585,3.042,-5.498995,-2.99885,-2.832335,0.384533,2.34619,3.08257,2.61041,0.5479039,-0.56545,0.654347,2.670185
